LoyaltyID,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Total Revenue,Satisfaction Score,Customer Status,Churn Value,Churn Score,Churn Category,Churn Reason
547896,6322-HRPFA,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,Male,42,No,No,Yes,Yes,2,Los Angeles,90026,34.078991,-118.263804,73686,3229.51,3,Stayed,0,79,0,0
861459,6865-JZNKO,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Female,25,Yes,No,No,No,0,Los Angeles,90027,34.127194,-118.295647,48727,2112.9,4,Stayed,0,65,0,0
100681,6467-CHFZW,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Male,61,No,No,Yes,Yes,1,Los Angeles,90028,34.099869,-118.326843,30568,6222.6,1,Churned,1,77,Competitor,Competitor had better devices
512358,8665-UTDHZ,No,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Male,27,Yes,No,Yes,No,0,Los Angeles,90029,34.089953,-118.294824,41713,30.2,1,Churned,1,90,Competitor,Competitor had better devices
270829,5248-YGIJN,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,Male,36,No,No,Yes,No,0,Los Angeles,90031,34.085807,-118.206617,38415,7155.69,3,Stayed,0,21,0,0
627568,8773-HHUOZ,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Female,20,Yes,No,No,No,0,Los Angeles,90032,34.078821,-118.177576,46960,1782.45,1,Churned,1,74,Competitor,Competitor offered higher download speeds
203287,3841-NFECX,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,Female,69,No,Yes,Yes,No,0,Los Angeles,90033,34.050198,-118.210946,49431,10105.37,4,Stayed,0,38,0,0
480074,4929-XIHVW,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Male,79,No,Yes,Yes,No,0,Los Angeles,90034,34.030578,-118.399613,58218,257.85,5,Joined,0,69,0,0
810081,6827-IEAUQ,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,Female,46,No,No,Yes,No,0,Los Angeles,90035,34.051809,-118.383843,27799,2960.12,3,Stayed,0,66,0,0
607565,7310-EGVHZ,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Male,35,No,No,No,No,0,Los Angeles,90036,34.070291,-118.349191,32901,44.68,5,Joined,0,77,0,0
486672,3413-BMNZE,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Male,71,No,Yes,No,No,0,Los Angeles,90037,34.002642,-118.287596,56709,57.14,3,Joined,0,40,0,0
318456,6234-RAAPL,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,Female,60,No,No,Yes,No,0,Los Angeles,90038,34.088017,-118.327168,32562,8955.22,4,Stayed,0,79,0,0
962566,6047-YHPVI,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Male,56,No,No,No,Yes,3,Los Angeles,90039,34.110845,-118.259595,29310,379.9,1,Churned,1,66,Competitor,Competitor had better devices
871206,6572-ADKRS,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Female,19,Yes,No,No,No,0,Los Angeles,90040,33.994524,-118.149953,9805,5500.54,3,Stayed,0,41,0,0
720116,5380-WJKOV,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Male,51,No,No,No,Yes,1,Los Angeles,90041,34.137412,-118.207607,27866,4286.71,2,Churned,1,65,Competitor,Competitor offered higher download speeds
699641,8168-UQWWF,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Female,48,No,No,No,Yes,2,Los Angeles,90042,34.11572,-118.192754,64672,1408.67,3,Churned,1,70,Competitor,Competitor offered more data
511875,8865-TNMNX,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,Male,53,No,No,Yes,No,0,Los Angeles,90043,33.988543,-118.334081,44764,737.4,3,Stayed,0,22,0,0
739670,9489-DEDVP,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,Female,52,No,No,Yes,No,0,Los Angeles,90044,33.952714,-118.292061,87383,7008.95,3,Stayed,0,25,0,0
707270,9867-JCZSP,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,Female,28,Yes,No,Yes,No,0,Los Angeles,90045,33.954017,-118.402447,39334,566.83,4,Stayed,0,64,0,0
281984,4671-VJLCL,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,Female,36,No,No,No,No,0,Los Angeles,90046,34.108455,-118.362081,49839,5669.11,3,Stayed,0,70,0,0
128608,4080-IIARD,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,Female,42,No,No,Yes,No,0,Los Angeles,90047,33.958149,-118.308441,47107,1134.72,5,Stayed,0,41,0,0
442160,3714-NTNFO,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,Female,49,No,No,No,No,0,Los Angeles,90048,34.072945,-118.37267,21739,5239.5,5,Stayed,0,71,0,0
691520,5948-UJZLF,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,Male,22,Yes,No,No,No,0,Los Angeles,90049,34.091829,-118.491244,33523,178.5,5,Joined,0,57,0,0
685792,7760-OYPDY,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Female,32,No,No,No,Yes,2,Los Angeles,90056,33.987945,-118.370442,8115,175.85,1,Churned,1,90,Competitor,Competitor had better devices
455606,7639-LIAYI,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,Male,23,Yes,No,No,No,0,Los Angeles,90057,34.061918,-118.277939,44004,5734.12,4,Stayed,0,49,0,0
988482,2954-PIBKO,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,Female,64,No,No,Yes,No,0,Los Angeles,90058,34.001617,-118.222274,3642,7045.82,3,Stayed,0,62,0,0
498491,8012-SOUDQ,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,Female,65,No,Yes,No,No,0,Los Angeles,90059,33.927254,-118.249826,38128,4379.69,4,Stayed,0,52,0,0
631740,9420-LOJKX,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Female,34,No,No,No,Yes,1,Los Angeles,90061,33.92128,-118.274186,24511,1485.8,1,Churned,1,82,Competitor,Competitor offered more data
221059,6575-SUVOI,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Female,65,No,Yes,Yes,No,0,Los Angeles,90062,34.003553,-118.308933,29299,2517.65,4,Stayed,0,25,0,0
820164,7495-OOKFY,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Female,74,No,Yes,Yes,Yes,1,Los Angeles,90063,34.044271,-118.185237,55668,1024.1,3,Churned,1,69,Competitor,Competitor made better offer
208668,4667-QONEA,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,Female,72,No,Yes,Yes,No,0,Los Angeles,90064,34.037251,-118.423573,24505,7390.35,3,Stayed,0,59,0,0
272229,1658-BYGOY,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Male,71,No,Yes,No,Yes,3,Los Angeles,90065,34.108833,-118.229715,47534,1910.88,2,Churned,1,81,Competitor,Competitor made better offer
724678,8769-KKTPH,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,Female,44,No,No,Yes,No,0,Los Angeles,90066,34.002028,-118.430656,55204,6401.29,3,Stayed,0,79,0,0
838589,5067-XJQFU,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,Male,77,No,Yes,Yes,No,0,Los Angeles,90067,34.057496,-118.413959,2527,8514.49,5,Stayed,0,74,0,0
359123,3957-SQXML,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,Female,61,No,No,Yes,No,0,Los Angeles,90068,34.137411,-118.328915,21728,1751.44,3,Stayed,0,62,0,0
475575,5954-BDFSG,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,Female,40,No,No,No,No,0,West Hollywood,90069,34.093781,-118.381061,20408,8595.54,3,Stayed,0,53,0,0
151748,0434-CSFON,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,Female,34,No,No,Yes,No,0,Los Angeles,90071,34.052917,-118.255178,21,6500.15,3,Stayed,0,70,0,0
956499,1215-FIGMP,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Male,27,Yes,No,No,No,0,Los Angeles,90077,34.102084,-118.451629,10470,8023.5,3,Stayed,0,35,0,0
945064,0526-SXDJP,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,Male,36,No,No,Yes,No,0,Bell,90201,33.970343,-118.171368,105285,2962,4,Stayed,0,29,0,0
500094,0557-ASKVU,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,Female,43,No,No,Yes,No,0,Beverly Hills,90210,34.099891,-118.414338,21397,1766.56,5,Stayed,0,33,0,0
593985,5698-BQJOH,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Female,41,No,No,No,Yes,2,Beverly Hills,90211,34.063947,-118.383001,8321,1102.14,3,Churned,1,96,Price,Price too high
989753,5122-CYFXA,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,Female,53,No,No,No,No,0,Beverly Hills,90212,34.062095,-118.401508,11355,361.07,3,Joined,0,35,0,0
693008,8627-ZYGSZ,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,Male,32,No,No,Yes,No,0,Compton,90220,33.88151,-118.234451,47305,5507.79,5,Stayed,0,61,0,0
633992,3410-YOQBQ,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,Female,61,No,No,No,No,0,Compton,90221,33.885811,-118.206459,51387,3359.87,5,Stayed,0,78,0,0
392098,3170-NMYVV,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,Female,37,No,No,Yes,No,0,Compton,90222,33.912246,-118.236773,29825,2278.4,4,Stayed,0,20,0,0
219609,7410-OIEDU,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,Male,29,Yes,No,No,No,0,Culver City,90230,33.993991,-118.39704,31963,1371.15,3,Stayed,0,38,0,0
153973,2273-QCKXA,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,Male,39,No,No,No,No,0,Culver City,90232,34.019323,-118.391902,15195,74.82,3,Joined,0,30,0,0
233816,0731-EBJQB,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,Female,24,Yes,No,Yes,No,0,Downey,90240,33.956228,-118.120993,24908,1384.45,3,Stayed,0,26,0,0
842543,1891-QRQSA,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,Male,71,No,Yes,Yes,No,0,Downey,90241,33.940884,-118.128628,40152,8144.12,4,Stayed,0,69,0,0
870203,8028-PNXHQ,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Male,40,No,No,Yes,No,0,Downey,90242,33.921793,-118.140588,42459,4445.86,5,Stayed,0,33,0,0
246338,5630-AHZIL,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Female,51,No,No,No,Yes,3,El Segundo,90245,33.917145,-118.401554,16041,356.05,3,Joined,0,54,0,0
381839,2673-CXQEU,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,Female,73,No,Yes,No,No,0,Gardena,90247,33.890853,-118.297967,47758,8778.78,4,Stayed,0,21,0,0
797120,6416-JNVRK,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,Female,50,No,No,No,No,0,Gardena,90248,33.876482,-118.284077,9960,2782.23,5,Stayed,0,56,0,0
821252,5590-ZSKRV,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,Female,62,No,No,Yes,Yes,1,Gardena,90249,33.90139,-118.315697,26442,792.49,3,Stayed,0,43,0,0
918592,0191-ZHSKZ,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,Male,80,No,Yes,No,No,0,Hawthorne,90250,33.914775,-118.348083,93315,3269.6,4,Stayed,0,55,0,0
118422,3887-PBQAO,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,Female,48,No,No,Yes,No,0,Hermosa Beach,90254,33.86532,-118.396336,18693,2228.65,4,Stayed,0,78,0,0
980245,5919-TMRGD,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Female,32,No,No,No,Yes,3,Huntington Park,90255,33.97803,-118.217141,78114,92.48,1,Churned,1,87,Competitor,Competitor had better devices
736646,8108-UXRQN,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,Female,23,Yes,No,Yes,Yes,1,Lawndale,90260,33.88856,-118.351813,33300,565.35,3,Stayed,0,28,0,0
779928,9191-MYQKX,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Female,34,No,No,Yes,Yes,5,Lynwood,90262,33.923573,-118.200669,69850,557.73,1,Churned,1,70,Dissatisfaction,Service dissatisfaction
718032,9919-YLNNG,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Female,38,No,No,No,No,0,Malibu,90263,34.037037,-118.705803,11,6123.8,4,Stayed,0,37,0,0
204567,0318-ZOPWS,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,Female,31,No,No,Yes,No,0,Malibu,90265,34.074572,-118.831181,19630,1111.53,5,Stayed,0,37,0,0
136345,4445-ZJNMU,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Male,30,No,No,No,No,0,Manhattan Beach,90266,33.889632,-118.39737,33758,962.04,3,Stayed,0,69,0,0
457184,4808-YNLEU,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,Female,51,No,No,Yes,No,0,Maywood,90270,33.988572,-118.186565,28094,3074,4,Stayed,0,39,0,0
726466,1862-QRWPE,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,Female,24,Yes,No,Yes,No,0,Pacific Palisades,90272,34.079449,-118.548306,22548,2879.08,5,Stayed,0,25,0,0
143316,2796-NNUFI,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,Female,56,No,No,Yes,No,0,Palos Verdes Peninsula,90274,33.788208,-118.404955,24979,2328.72,5,Stayed,0,80,0,0
425940,3016-KSVCP,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,Male,47,No,No,Yes,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,41263,1009.25,3,Stayed,0,62,0,0
195539,4767-HZZHQ,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Male,32,No,No,Yes,Yes,3,Redondo Beach,90277,33.830453,-118.384565,34191,2875.9,3,Stayed,0,9,0,0
708446,2424-WVHPL,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,Male,79,No,Yes,No,No,0,Redondo Beach,90278,33.873395,-118.37019,37322,102.35,5,Joined,0,60,0,0
667038,7233-PAHHL,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84,5714.25,Male,57,No,No,Yes,No,0,South Gate,90280,33.944624,-118.192615,96267,6124.77,4,Stayed,0,24,0,0
710672,6067-NGCEU,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,Female,50,No,No,No,No,0,Topanga,90290,34.115192,-118.61017,5451,9822.7,4,Stayed,0,38,0,0
750199,9848-JQJTX,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Male,52,No,No,No,No,0,Venice,90291,33.991782,-118.479229,31021,9225.21,3,Stayed,0,54,0,0
960651,8637-XJIVR,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Female,34,No,No,No,Yes,3,Marina Del Rey,90292,33.977468,-118.445475,18058,1311.43,1,Churned,1,86,Attitude,Attitude of support person
